date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:19	175152/175152	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2006:32:30%20GMT	https://gaminggadgets.com/us/online-casinos/	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/online-casinos/index.html	(from )
23:53:19	176/176	---MCZ	200	added ('OK')	text/plain	etag:W/%22641db339-19b%22	https://gaminggadgets.com/robots.txt		(from )
23:53:20	49880/49880	---M--	200	added ('OK')	image/png	etag:%2263e10e8d-c2d8%22	https://gaminggadgets.com/wp-content/uploads/2023/02/Best-Real-Money-Online-Casinos-USA.png	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/wp-content/uploads/2023/02/Best-Real-Money-Online-Casinos-USA.png	(from https://gaminggadgets.com/us/online-casinos/)
23:53:20	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%22636e62ad-172a9%22	https://gaminggadgets.com/us/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:20	53987/53987	---MCZ	200	added ('OK')	text/css	etag:W/%2263eca6a8-d2e3%22	https://gaminggadgets.com/us/wp-content/plugins/ultimate-blocks/dist/blocks.style.build.css?ver=2.5.6	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/ultimate-blocks/dist/blocks.style.build2a47.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:20	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%226357e86c-d9%22	https://gaminggadgets.com/us/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-includes/css/classic-themes.min68b3.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:21	6382/6382	---MCZ	200	added ('OK')	text/css	etag:W/%22641db694-18ee%22	https://gaminggadgets.com/us/wp-content/plugins/apex-plugin/css/style.css?ver=6.1.1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/apex-plugin/css/style6a4d.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:22	0/0	---M--	200	added ('OK')	text/css	etag:%22641db694-0%22	https://gaminggadgets.com/us/wp-content/plugins/apex-plugin/css/style-gaminggadgets.css?ver=6.1.1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/apex-plugin/css/style-gaminggadgets6a4d.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:22	101619/101619	---MCZ	200	added ('OK')	text/css	etag:W/%2263bff33a-18cf3%22	https://gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.5.4	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/css/frontend.min67d0.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:22	13825/13825	---MCZ	200	added ('OK')	text/css	etag:W/%2263bff33a-3601%22	https://gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.5.4	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min67d0.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:22	14965/14965	---MCZ	200	added ('OK')	text/css	etag:W/%2263bff33a-3a75%22	https://gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.1.1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/select2/select2.min6a4d.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:23	465/465	---MCZ	200	added ('OK')	text/css	etag:W/%22640b12fa-1d1%22	https://gaminggadgets.com/us/wp-content/themes/publisher-child/style.css?ver=1.0.1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/themes/publisher-child/stylef269.css	(from https://gaminggadgets.com/us/online-casinos/)
23:53:23	89684/89684	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632879b8-15e54%22	https://gaminggadgets.com/us/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-includes/js/jquery/jquery.mina7a0.js	(from https://gaminggadgets.com/us/online-casinos/)
23:53:23	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb4e3fe-2bd8%22	https://gaminggadgets.com/us/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://gaminggadgets.com/us/online-casinos/)
23:53:23	50605/50605	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bff33a-c5ad%22	https://gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.js?ver=4.5.4	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min67d0.js	(from https://gaminggadgets.com/us/online-casinos/)
23:53:24	70851/70851	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bff33a-114c3%22	https://gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.js?ver=4.5.4	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/wp-content/plugins/wp-user-avatar/assets/select2/select2.min67d0.js	(from https://gaminggadgets.com/us/online-casinos/)
23:53:25	419/419	---M--	200	added ('OK')	image/jpeg	etag:%22638e4af0-1a3%22	https://gaminggadgets.com/wp-content/uploads/2022/12/gg-favicon-16.jpg	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/wp-content/uploads/2022/12/gg-favicon-16.jpg	(from https://gaminggadgets.com/us/online-casinos/)
23:53:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Sep%202023%2022:53:28%20GMT	https://gaminggadgets.com/us/online-casinos/gaminggadgets.com/nz/online-casinos/	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/us/online-casinos/gaminggadgets.com/nz/online-casinos/index.html	(from https://gaminggadgets.com/us/online-casinos/)
23:53:26	1105/1105	---M--	200	added ('OK')	image/jpeg	etag:%22638e4aff-451%22	https://gaminggadgets.com/wp-content/uploads/2022/12/gg-favicon-57.jpg	C:/My%20Web%20Sites/new-edit-uk/gaminggadgets.com/wp-content/uploads/2022/12/gg-favicon-57.jpg	(from https://gaminggadgets.com/us/online-casinos/)
